structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q2,2022,Q2,1735.854,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q3,2022,Q3,1745.755,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q4,2022,Q4,1763.295,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q1,2023,Q1,1786.73,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q2,2023,Q2,1802.28,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q3,2023,Q3,1817.007,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2023-Q4,2023,Q4,1830.382,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q1,2024,Q1,1835.288,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q2,2024,Q2,1832.508,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2024-Q3,2024,Q3,1825.543,Normal value,False
